Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,67.8,67,68.4,,,,,,,,67.7
1E,67.4,65,68.9,,,,,,,,67.1
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,,,,,,,,,,,
9E,,,,,,,,,,,
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,,,,,,,,,,,
13E,,,,,,,,,,,
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,66,65.7,68,,,,,,,,66.6
15E,65.3,67,68.5,,,,,,,,66.9
