date,die_number,production_number,specific_weight,discard_thickness,stretch_reatio,press_start,press_finish,press_type,billet_size,billet_length,billet_lot_no,plan_billet_input,actual_billet_input,actual_ram_speed,actual_die_temp,ok_works,1st_billet_work_length,2nd_billet_work_length,work_qty_from_1st_billet,work_qty_from_2nd_billet,total_ng_works,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,billet_No01_work_length,billet_No02_work_length,billet_No03_work_length,billet_No04_work_length,billet_No05_work_length,billet_No06_work_length,billet_No07_work_length,billet_No08_work_length,billet_No09_work_length,billet_No10_work_length,billet_No11_work_length,billet_No12_work_length,billet_No13_work_length,billet_No14_work_length,billet_No15_work_length,billet_No16_work_length,billet_No17_work_length,billet_No18_work_length,billet_No19_work_length,billet_No20_work_length
âüèoì˙,å^î‘,ïiî‘,íPèd,ÉfÉBÉXÉJÅ[Éhå˙,ÉXÉgÉåÉbÉ`,äJén,èIóπ,âüèoéÌï ,ÉrÉåÉbÉgÉTÉCÉY,ÉrÉåÉbÉgí∑Ç≥,ÉrÉåÉbÉgêªë¢î‘çÜ,åvâÊÉrÉåÉbÉgêî,é¿ê—ÉrÉåÉbÉgêî,ÉâÉÄë¨Åié¿ë™Åj,ã‡å^â∑ìxÅié¿ë™Åj,ó«ïiêî,1stÉrÉåÉbÉgâüèoí∑Ç≥,2ndÉrÉåÉbÉgâüèoí∑Ç≥,1stÉrÉåÉbÉgêªïiêî,2ndÉrÉåÉbÉgêªïiêî,ëçïsó«êî,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,ÉrÉåÉbÉg01ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg02ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg03ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg04ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg05ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg06ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg07ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg08ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg09ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg10ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg11ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg12ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg13ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg14ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg15ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg16ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg17ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg18ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg19ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg20ñ{ñ⁄êªïií∑
2021-01-21,CQ32T-V01B,C2Q32-04-J0779-K,2.56,,,10:00:00,10:20:00,ÅZ,9,1200,-,5,5,6.4,470,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-02-22,SY30M-V01B,SY3000-20-1,3.22,,,09:20:00,09:40:00,ÅZ,9,1200,-,5,5,8.1,472,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-22,MHY10B-V01D,P3319101-M,1.02,,,09:00:00,09:00:00,ÅZ,9,600,-,5,5,1.7,475,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-21,MHY10B-V01D,P3319101-M,1.02,,,10:00:00,10:20:00,ÅZ,9,1200,-,3,3,1.7,475,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-25,XLA40B2-V01B,XLA40-1B-S,12.34,,,10:00:00,10:30:00,ÅZ,9,1200,-,8,8,6.9,476,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-25,MHY10B-V01D,P3319101-M,1.02,,,09:00:00,09:30:00,ÅZ,9,600,-,6,6,1.7,475,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-25,SY30M-V01B,SY3000-20-1,3.22,,,10:00:00,10:40:00,ÅZ,9,1200,-,10,10,8.1,476,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-25,MHY10B-V01D,P3319101-M,1.02,,,10:00:00,10:20:00,ÅZ,9,600,-,2,2,1.7,472,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-26,CQ32T-V01B,C2Q32-04-J0779-K,2.56,,,10:00:00,10:40:00,ÅZ,9,1200,-,20,20,6.4,470,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2021-01-27,XLA40B2-V01B,XLA40-1B-S,12.34,,,09:00:00,09:20:00,ÅZ,9,1200,-,3,3,6.9,470,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
